neighborhood,bhk,area_sqft,price_inr,age_years,amenities,listed_on
Dadar,3,337.0,13135656.0,18,Gym,09-Jun-24
Dadar,2,814.0,28716676.0,38,Garden,04-Apr-25
Juhu,2,1052.0,28932746.0,23,"Pool, Security, Parking",2024-11-09
Navi Mumbai,3,659.0,10494808.0,17,Security,"January 22, 2024"
Juhu,2,,12632774.0,34,"Parking, Gym, Garden","September 09, 2024"
Navi Mumbai,2,977.0,7519717.0,36,"Gym, Pool, Security, Parking",2024-08-23
Powai,4,927.0,8005751.0,18,"Gym, Parking, Pool",2024-12-10
Thane,4,902.0,20332971.0,23,Gym,"February 18, 2024"
Navi Mumbai,2,1200.0,28383735.0,33,"Security, Gym",2025-04-19
Andheri,1,761.0,7142903.0,21,"Parking, Garden",28/02/2024
Juhu,2,1011.0,12556811.0,3,"Parking, Garden, Security",2024-06-18
Goregaon,3,722.0,9380590.0,9,"Gym, Security, Pool, Garden",2025-04-20
Thane,4,602.0,18225331.0,1,"Garden, Parking",2024-07-06
Powai,2,800.0,8596712.0,7,"Garden, Security, Gym",2025-04-08
Navi Mumbai,1,725.0,3416499.0,32,"Pool, Gym, Security","September 27, 2024"
Powai,4,742.0,19820245.0,37,Garden,08-Jul-24
Goregaon,2,,9046693.0,27,"Pool, Security, Parking, Gym","March 21, 2025"
Dadar,2,811.0,9629422.0,9,Garden,"June 23, 2024"
Borivali,5,,14095311.0,0,"Garden, Gym, Pool",21-Mar-25
Goregaon,1,,13412534.0,33,Pool,"February 20, 2024"
Worli,3,936.0,14270043.0,2,Security,29/12/2024
Goregaon,1,484.0,4082255.0,8,"Security, Gym, Garden, Pool",24-Feb-24
Powai,2,795.0,15154156.0,4,Pool,31/08/2024
Andheri,3,781.0,3452352.0,9,"Security, Parking, Garden","November 15, 2024"
Juhu,2,839.0,17222704.0,11,"Garden, Parking, Security","May 10, 2024"
Andheri,5,1153.0,21232185.0,17,Security,29-Apr-25
Powai,3,947.0,4774921.0,20,"Garden, Parking, Security","November 02, 2024"
Juhu,2,1329.0,13217599.0,20,"Security, Pool",2024-05-14
Worli,2,895.0,20466654.0,0,"Garden, Security",21/01/2024
Bombay,2,1521.0,8290309.0,2,"Parking, Pool, Security, Garden",24/11/2024
Thane,2,738.0,16259401.0,4,"Gym, Security",2024-06-15
Powai,1,,2040604.0,24,"Security, Parking, Gym, Garden",30-Sep-24
Navi Mumbai,2,1091.0,20976591.0,7,"Parking, Security, Gym, Pool",22-Jan-25
Powai,2,1377.0,11050614.0,16,"Garden, Gym, Security",2024-03-29
Powai,3,417.0,9297930.0,8,"Parking, Gym, Pool, Security",2024-11-11
Juhu,3,831.0,19587945.0,31,"Security, Gym, Garden",14/01/2024
Bandra,3,686.0,30632552.0,5,"Pool, Security, Parking, Garden",2024-08-29
Goregaon,1,949.0,14525692.0,39,"Garden, Parking",2024-09-21
Bandra,2,903.0,28494691.0,20,"Pool, Gym",2024-12-11
Worli,3,1370.0,4273869.0,6,"Garden, Parking, Pool, Security","February 22, 2024"
Navi Mumbai,2,862.0,16184577.0,6,"Garden, Gym",2025-01-20
Borivali,1,1381.0,10027057.0,38,"Gym, Garden, Security, Parking","December 05, 2024"
Dadar,3,789.0,6763618.0,26,"Pool, Security, Gym, Garden",01/04/2024
Worli,3,1224.0,3411938.0,7,Garden,01/01/2025
Dadar,2,980.0,15667080.0,8,"Pool, Security",19-Mar-25
Dadar,1,1505.0,18350622.0,27,Parking,30/03/2025
Borivali,3,383.0,24281217.0,14,Pool,03-Mar-25
Andheri,3,492.0,21985512.0,1,"Garden, Pool, Parking","September 20, 2024"
Bandra,3,1541.0,6830949.0,6,"Gym, Pool",2025-03-06
Powai,3,643.0,23544983.0,17,Parking,04/02/2024
Thane,3,665.0,25085700.0,21,"Pool, Security, Gym",2024-07-24
mumbai,2,593.0,9285918.0,9,"Garden, Pool",21-Mar-24
Navi Mumbai,1,1301.0,11040236.0,32,"Gym, Security, Pool","February 23, 2025"
Worli,3,461.0,6196576.0,6,"Pool, Garden, Security, Parking",19/02/2024
Andheri,3,907.0,26390952.0,2,Garden,2024-12-25
Dadar,3,807.0,4381614.0,13,"Gym, Pool, Parking",22-Jan-25
Andheri,2,1262.0,14961374.0,35,"Pool, Parking, Garden",2024-01-02
Andheri,2,702.0,7586664.0,12,"Gym, Pool, Parking, Security",24/01/2025
Dadar,4,1045.0,5583287.0,15,Parking,2024-02-23
Juhu,3,490.0,3524197.0,15,Parking,"April 15, 2024"
Goregaon,4,1695.0,9537637.0,4,Security,16/09/2024
Navi Mumbai,3,816.0,5082170.0,24,"Pool, Parking, Garden, Gym",05-Nov-24
Powai,3,903.0,11227219.0,37,Pool,21/04/2025
Powai,3,1479.0,31377524.0,37,"Gym, Security",09-Jul-24
Navi Mumbai,4,694.0,12233693.0,37,"Parking, Security, Pool",05-Feb-25
Juhu,3,1483.0,35976205.0,38,Parking,05/08/2024
Powai,3,755.0,6020230.0,25,"Pool, Parking, Gym",13-Feb-24
Andheri,2,1135.0,5032541.0,12,"Parking, Pool",10/06/2024
Borivali,2,,5860765.0,25,"Gym, Security, Parking, Garden","July 20, 2024"
Worli,3,425.0,10437751.0,0,"Garden, Gym, Security","March 21, 2025"
Bandra,2,1045.0,55604195.0,7,"Pool, Gym",2025-04-28
Powai,2,1123.0,4003707.0,3,"Security, Garden, Gym","September 26, 2024"
Navi Mumbai,2,439.0,15741292.0,20,"Security, Pool",16-Dec-24
Borivali,2,792.0,7131419.0,21,"Parking, Security",2024-10-30
Dadar,2,1320.0,9489706.0,36,"Garden, Gym, Parking",2024-09-27
Goregaon,2,1110.0,5102229.0,2,"Parking, Pool",31/03/2025
Navi Mumbai,4,761.0,18393042.0,18,"Parking, Garden, Pool",2025-04-06
Andheri,2,690.0,10571211.0,0,Parking,02/08/2024
Goregaon,2,1581.0,20841821.0,28,"Security, Garden, Parking",2024-09-08
Worli,1,393.0,12056893.0,22,Garden,"July 08, 2024"
Worli,3,879.0,3405920.0,32,"Pool, Security, Gym",22/10/2024
Juhu,2,,20955793.0,22,"Garden, Pool",31-Jul-24
Thane,3,1360.0,3243617.0,4,"Parking, Gym",2024-07-26
Juhu,3,897.0,3534415.0,6,"Parking, Gym","August 24, 2024"
Borivali,3,962.0,6259923.0,5,Parking,"December 03, 2024"
MUMBAI,2,1869.0,6310255.0,21,Parking,01/01/2025
Thane,3,692.0,25080791.0,12,"Pool, Security, Garden, Gym",22/02/2024
Dadar,2,1512.0,9794251.0,11,Parking,06/10/2024
Andheri,99,763.0,22940883.0,3,Gym,13-Feb-25
Goregaon,3,818.0,7719418.0,7,"Pool, Security",04-Aug-24
Juhu,2,1823.0,13132332.0,36,Garden,08-Sep-24
Bandra,2,843.0,14424308.0,30,"Garden, Parking, Gym, Security",2024-07-06
Thane,2,418.0,16479690.0,36,Pool,14-Jan-25
Thane,3,998.0,8211485.0,25,"Security, Garden, Parking, Pool",07/05/2025
Andheri,2,839.0,8651879.0,7,"Pool, Security, Garden, Gym","February 10, 2024"
Powai,3,,9075796.0,39,Security,"June 05, 2024"
Worli,2,,4027082.0,32,"Gym, Parking",15/01/2024
Worli,3,1675.0,10320666.0,28,"Pool, Garden",27-Oct-24
Bandra,3,1094.0,8621671.0,4,"Parking, Pool, Gym, Security",05-Mar-24
Borivali,3,523.0,15371777.0,27,"Gym, Pool",10/12/2024
Borivali,3,943.0,11464670.0,39,"Parking, Pool","November 22, 2024"
Dadar,2,620.0,24199175.0,16,"Security, Pool, Gym, Parking",2024-01-09
Goregaon,1,813.0,11319677.0,22,"Security, Pool","December 09, 2024"
Navi Mumbai,3,581.0,7745918.0,8,Parking,08-May-24
Powai,2,1637.0,11235830.0,1,"Pool, Security, Garden, Parking","May 06, 2025"
Juhu,2,,16759911.0,31,"Parking, Pool",15-May-24
Navi Mumbai,1,1140.0,3745537.0,30,Security,"April 16, 2025"
Navi Mumbai,2,786.0,7066324.0,6,"Garden, Gym, Parking",03/03/2024
Thane,1,494.0,7156231.0,29,"Gym, Security, Garden, Pool",18-May-24
Bandra,4,969.0,13888811.0,2,"Security, Parking, Garden, Pool",2025-05-13
Worli,2,1040.0,14892554.0,8,"Gym, Parking, Garden",2024-03-21
Dadar,3,1095.0,11533157.0,9,"Parking, Pool, Garden, Security",26/01/2025
Borivali,1,250.0,2452987.0,25,"Security, Parking","June 11, 2024"
Bandra,3,467.0,4028276.0,0,"Garden, Gym",22/02/2025
Thane,2,1235.0,9403955.0,29,Parking,15/10/2024
Juhu,4,576.0,8033399.0,37,"Parking, Pool, Gym, Garden",2025-01-13
Dadar,4,971.0,10888549.0,14,"Parking, Gym, Pool",2024-09-17
Thane,2,459.0,8189481.0,24,"Security, Pool, Parking, Garden",04-May-25
Worli,4,1156.0,27207017.0,5,"Gym, Parking",18-Aug-24
Worli,5,1225.0,2740456.0,17,"Security, Parking, Garden",10-Feb-24
Worli,3,1156.0,13014525.0,0,Gym,28/01/2024
Bandra,3,1261.0,17837370.0,2,Parking,14/05/2024
Bandra,2,1447.0,16533895.0,16,"Garden, Security, Pool, Gym",19-Jul-24
Borivali,3,489.0,17406666.0,7,"Gym, Pool, Security, Garden",2024-11-23
Borivali,1,623.0,18975696.0,39,"Garden, Security, Gym, Parking",2024-09-24
Juhu,1,1214.0,7554183.0,16,Garden,"February 21, 2025"
Dadar,5,1295.0,5604664.0,24,Garden,02-Feb-24
Andheri,2,663.0,3201695.0,11,"Gym, Security, Parking, Garden",17/02/2024
Andheri,3,639.0,8731418.0,28,"Pool, Parking, Gym, Garden","February 10, 2025"
Thane,3,671.0,6807123.0,24,"Parking, Garden, Gym","March 02, 2024"
Worli,4,338.0,500000000.0,35,"Security, Pool, Parking, Gym","August 03, 2024"
Dadar,5,455.0,9133551.0,24,Pool,19-Oct-24
Navi Mumbai,2,,5848855.0,28,"Parking, Garden",08-Apr-24
Bandra,1,797.0,5319441.0,10,Pool,20-Jun-24
Goregaon,2,994.0,35794043.0,3,Gym,2024-12-25
Powai,1,1051.0,10710640.0,13,Security,"August 01, 2024"
Juhu,1,722.0,6790922.0,37,"Gym, Security, Parking",2025-04-19
Worli,2,730.0,11692113.0,16,"Parking, Pool",04-Feb-24
Worli,3,943.0,33873159.0,1,"Gym, Security, Garden",2025-03-24
Worli,3,376.0,8590707.0,7,"Security, Pool",2024-08-14
Bandra,2,1235.0,16390401.0,35,Pool,10/04/2024
Bandra,3,1349.0,22117432.0,9,"Pool, Parking",06-Mar-25
Powai,2,681.0,3489070.0,6,"Gym, Pool","April 06, 2025"
Navi Mumbai,1,760.0,7399719.0,35,"Garden, Parking, Gym",10-May-24
Dadar,3,1335.0,20514694.0,15,"Pool, Parking, Gym",2024-09-13
Worli,3,856.0,7134252.0,13,"Security, Gym",05-Jan-24
Andheri,3,1105.0,13919137.0,15,"Garden, Gym, Parking, Pool",05-Aug-24
Borivali,1,867.0,6885381.0,24,"Security, Parking",11/09/2024
Andheri,3,1444.0,8307496.0,3,"Parking, Security, Gym",01/02/2025
Thane,3,1071.0,7721983.0,28,"Garden, Parking, Gym",24-Dec-24
Andheri,3,1091.0,15902742.0,5,"Gym, Security, Garden",09/10/2024
Thane,3,1098.0,12248917.0,0,Gym,2025-01-27
Goregaon,4,,11516780.0,38,"Gym, Security",2024-07-25
Borivali,3,737.0,48861345.0,0,"Gym, Security",2024-01-15
Andheri,3,1169.0,30824440.0,39,"Pool, Gym, Garden",11/12/2024
Goregaon,5,944.0,3306014.0,2,Pool,11-Feb-24
Juhu,3,487.0,8318181.0,0,"Parking, Gym",2025-01-14
Dadar,2,1555.0,46542583.0,0,"Parking, Garden","April 05, 2025"
Goregaon,3,1242.0,7688575.0,38,Security,2024-06-27
Dadar,2,913.0,37982937.0,20,Gym,03-Mar-24
Andheri,2,,8403879.0,29,"Pool, Garden",2024-12-17
Navi Mumbai,3,969.0,9431837.0,31,"Gym, Parking, Security, Pool","August 18, 2024"
Goregaon,4,1081.0,18222047.0,32,"Parking, Pool",2024-08-28
Borivali,4,250.0,10281695.0,21,"Garden, Gym, Parking",2024-02-21
Andheri,2,1639.0,14603544.0,29,"Gym, Parking, Pool",05-Apr-24
Worli,2,623.0,27923222.0,3,"Parking, Pool, Security, Garden",2025-01-22
Bandra,2,899.0,17111829.0,22,"Garden, Security",2024-08-09
Goregaon,5,,11815459.0,24,"Security, Parking, Garden",29/04/2025
Borivali,5,1598.0,29624613.0,11,Parking,10-Feb-25
Juhu,3,869.0,18366015.0,16,"Gym, Pool, Parking",18-Aug-24
Worli,99,1455.0,6989182.0,14,"Garden, Parking",24-Aug-24
Juhu,3,1042.0,35606727.0,9,"Gym, Parking, Security, Pool",22-May-24
Andheri,3,,15957179.0,34,"Pool, Gym, Garden, Security",2024-06-19
Bandra,1,947.0,9547539.0,28,"Pool, Gym","January 29, 2024"
Goregaon,2,858.0,3228439.0,11,"Pool, Garden","February 05, 2024"
Goregaon,3,520.0,4749045.0,0,"Parking, Gym, Pool, Security",13/01/2024
Navi Mumbai,3,1025.0,30101361.0,0,Pool,2024-06-08
Navi Mumbai,2,907.0,30823845.0,9,"Garden, Gym",22-Nov-24
Andheri,4,1094.0,11423354.0,17,"Security, Garden, Pool",05-Jul-24
Andheri,2,967.0,3752202.0,1,"Gym, Parking, Security","August 30, 2024"
Bandra,2,672.0,5653667.0,7,"Parking, Security, Gym",26/03/2024
Navi Mumbai,3,,4096891.0,21,"Parking, Garden, Gym",2024-10-10
Borivali,3,681.0,4008522.0,21,Garden,06/03/2024
Borivali,3,250.0,36619133.0,25,"Parking, Pool, Gym",2024-06-18
Bandra,2,945.0,37354007.0,25,"Pool, Garden, Security",14/02/2024
Borivali,2,,5539926.0,8,"Garden, Security, Gym, Pool",02/03/2024
Thane,3,1033.0,10796786.0,20,"Parking, Security",16-Mar-25
Dadar,3,1599.0,5020913.0,30,"Pool, Security, Parking","May 13, 2024"
Bandra,2,1609.0,10754740.0,5,Gym,10-Oct-24
Bandra,3,842.0,29022511.0,13,"Pool, Garden, Parking","January 28, 2024"
Bombay,2,,20732881.0,32,"Garden, Gym, Security",17/04/2024
Worli,3,1104.0,17631500.0,6,Security,2024-02-13
Worli,3,770.0,9659884.0,23,"Garden, Parking, Gym, Security",05-Dec-24
Thane,2,1037.0,23142476.0,8,"Parking, Pool",2024-10-12
Navi Mumbai,1,668.0,15998432.0,10,"Parking, Gym, Garden, Pool",21-Mar-25
Andheri,3,987.0,13829981.0,22,"Garden, Parking, Gym",26-Nov-24
Andheri,3,615.0,10127392.0,1,"Parking, Gym, Pool, Garden",07-May-24
Juhu,3,,13138058.0,14,"Parking, Pool, Gym, Garden",2024-12-13
Thane,3,693.0,12902749.0,34,"Parking, Security, Gym, Pool",17-Apr-25
Bandra,3,1131.0,7843071.0,35,"Gym, Parking",18-Aug-24
Thane,5,457.0,6817818.0,27,"Pool, Parking, Security, Garden",08-Jul-24
Thane,2,1173.0,5967603.0,38,"Garden, Security",2024-08-12
Thane,2,561.0,6201378.0,3,"Garden, Parking, Pool",19-Jan-25
Worli,2,991.0,9695169.0,9,"Gym, Garden, Security",2025-01-11
Thane,2,1258.0,8783531.0,5,"Pool, Gym, Garden, Security","October 09, 2024"
Dadar,3,830.0,7478627.0,29,"Garden, Pool, Gym, Parking",21-Mar-25
Andheri,2,539.0,7153635.0,34,Pool,30/04/2024
Juhu,4,1073.0,12930870.0,9,"Pool, Gym, Security","April 25, 2024"
Dadar,3,605.0,24805215.0,31,"Parking, Garden, Security",2025-04-05
Juhu,3,758.0,10782668.0,2,"Security, Garden",20/08/2024
Powai,2,992.0,10367656.0,25,Pool,2024-09-15
Juhu,1,1376.0,6193853.0,14,"Pool, Parking, Gym",2024-12-24
Andheri,1,909.0,9493882.0,16,"Security, Gym",16-Jul-24
Bombay,2,908.0,22168919.0,26,"Gym, Pool, Security",31/03/2025
Thane,1,1158.0,20225943.0,17,Parking,2025-02-14
Goregaon,3,917.0,19400012.0,18,"Pool, Garden, Parking","May 16, 2024"
Powai,4,1122.0,19029887.0,11,"Gym, Garden, Pool, Parking",13-Nov-24
Bandra,4,1277.0,14104995.0,23,"Pool, Parking, Garden, Security","June 13, 2024"
Borivali,3,785.0,13807525.0,4,Pool,"August 12, 2024"
Juhu,2,250.0,12570335.0,23,"Gym, Security, Garden, Parking",02-Nov-24
Goregaon,4,613.0,8451621.0,26,"Gym, Pool, Garden",2024-08-21
Thane,4,1323.0,11412498.0,29,Parking,"June 20, 2024"
Worli,2,888.0,12352386.0,14,"Gym, Parking, Garden",2024-05-31
Bandra,3,781.0,15869366.0,37,Gym,2025-04-07
Navi Mumbai,2,1308.0,11526438.0,33,"Garden, Parking, Pool, Gym",10-Nov-24
Goregaon,3,864.0,38381911.0,26,Gym,"January 08, 2025"
Worli,5,250.0,5251964.0,19,"Garden, Parking, Pool, Security","June 08, 2024"
Powai,1,373.0,17067479.0,31,Parking,05-Apr-24
Thane,4,1046.0,10588232.0,3,"Security, Garden, Parking",2025-04-16
Bandra,3,876.0,10867506.0,4,"Parking, Pool, Security, Garden",2024-08-20
Bandra,5,1409.0,6665493.0,7,"Parking, Pool, Security, Gym",28-Jun-24
Bandra,2,643.0,20007264.0,21,"Gym, Pool, Security, Parking",2024-04-22
Powai,3,791.0,16057794.0,6,"Security, Parking, Pool, Gym",2024-11-13
Juhu,1,590.0,17897694.0,21,"Gym, Pool","May 11, 2025"
Navi Mumbai,2,717.0,12013568.0,29,Garden,2025-03-17
Powai,1,250.0,8931216.0,36,"Gym, Security",2024-02-21
Borivali,5,,10428605.0,15,"Pool, Parking",2024-09-24
Navi Mumbai,3,881.0,14077374.0,14,"Pool, Gym, Parking, Garden",2024-10-21
Andheri,4,852.0,3258098.0,4,"Garden, Pool, Parking",20-Jan-25
Thane,4,1652.0,18324687.0,2,"Pool, Parking",21-Jan-25
Powai,1,1541.0,46535019.0,22,Security,22-Apr-24
Worli,2,637.0,14478872.0,9,"Parking, Garden, Gym, Pool",2024-04-10
Navi Mumbai,1,250.0,9169965.0,4,"Security, Pool, Gym",22-Apr-24
Borivali,2,865.0,9852727.0,22,"Gym, Pool, Security, Parking",15/03/2025
Andheri,2,1031.0,16593563.0,14,"Gym, Parking",21/03/2024
MUMBAI,2,598.0,9295368.0,17,"Pool, Garden, Gym, Security",05/07/2024
Worli,2,616.0,18277935.0,24,Pool,"April 22, 2024"
Navi Mumbai,1,1453.0,9776729.0,7,"Pool, Parking",2024-01-02
Thane,2,809.0,30356162.0,30,"Security, Parking, Pool","May 09, 2024"
Worli,1,1131.0,29857830.0,20,"Parking, Security, Gym, Garden",07-Aug-24
Andheri,5,574.0,8902994.0,1,Security,2024-02-23
Worli,3,880.0,10338504.0,21,"Gym, Security",08/12/2024
Dadar,5,782.0,10708825.0,7,"Garden, Pool, Parking",2025-04-29
Goregaon,2,663.0,10795287.0,22,Security,"August 11, 2024"
Juhu,2,1304.0,6147417.0,31,Security,12-Aug-24
Andheri,3,413.0,5652698.0,7,"Garden, Security, Pool, Gym",19-Jan-25
Worli,2,1005.0,22973560.0,3,"Security, Gym","February 06, 2025"
Goregaon,2,775.0,20871021.0,29,"Gym, Parking",2024-05-05
Goregaon,2,1045.0,20655918.0,18,"Parking, Garden, Gym, Pool","May 09, 2024"
Worli,1,780.0,10410995.0,22,Parking,22-Feb-24
Thane,2,1203.0,33774177.0,17,"Gym, Pool, Security",20/06/2024
Dadar,2,571.0,10708181.0,28,Pool,05-Aug-24
Powai,3,1305.0,18214448.0,22,"Gym, Pool, Garden",08-Jun-24
Dadar,1,889.0,4717676.0,32,"Parking, Pool, Gym, Garden",2024-07-16
Worli,2,435.0,9455988.0,17,"Pool, Security, Garden",19/02/2025
Juhu,3,,9884786.0,32,Garden,03-Sep-24
Powai,1,830.0,10435327.0,6,Garden,19/11/2024
Andheri,2,302.0,4899779.0,27,"Pool, Parking","March 14, 2025"
Dadar,4,1016.0,16557149.0,0,"Parking, Gym",2024-07-21
Worli,2,1252.0,20118819.0,38,Pool,02/07/2024
Dadar,1,1348.0,6946055.0,33,"Garden, Gym, Pool",02/05/2024
Powai,2,767.0,5452556.0,38,Garden,2025-02-04
Borivali,2,950.0,6842304.0,18,"Pool, Security, Parking","September 11, 2024"
Navi Mumbai,3,917.0,14611204.0,30,"Security, Pool",20/10/2024
Dadar,3,1421.0,7587692.0,12,Security,2024-10-06
Andheri,1,616.0,10014663.0,23,Security,20-Nov-24
Andheri,3,737.0,5699697.0,4,"Pool, Garden, Gym",2025-01-06
Bandra,2,607.0,35589878.0,22,"Gym, Garden",07-Apr-24
Dadar,1,392.0,11340820.0,18,"Security, Gym, Pool",16/07/2024
Navi Mumbai,3,986.0,21635136.0,0,"Security, Garden",14/04/2025
Thane,2,,14590802.0,32,"Security, Parking, Pool, Gym",29/01/2025
Goregaon,2,830.0,10584190.0,32,"Parking, Security","August 27, 2024"
Navi Mumbai,1,591.0,10260402.0,31,Security,"May 23, 2024"
Goregaon,2,,7024073.0,27,"Parking, Gym, Pool, Security",06-Apr-24
Goregaon,2,1106.0,8283052.0,36,"Gym, Parking",2024-07-19
Borivali,3,845.0,5928718.0,11,Pool,03-May-24
Bandra,1,1391.0,5553175.0,8,"Gym, Parking",2024-07-05
Navi Mumbai,2,615.0,37951715.0,10,"Parking, Gym",21/11/2024
Navi Mumbai,2,799.0,12830650.0,32,"Garden, Gym",2025-04-08
Borivali,3,1003.0,26151846.0,18,"Security, Parking","December 14, 2024"
Dadar,3,1037.0,6739947.0,33,"Garden, Pool, Gym, Security",2024-09-15
Dadar,3,916.0,5121909.0,6,"Pool, Gym, Security",2024-05-27
Dadar,3,,6036489.0,30,Security,08/09/2024
Juhu,4,1718.0,8425361.0,1,"Security, Garden",18/03/2025
Goregaon,2,,11093833.0,18,"Parking, Garden, Pool, Gym","February 23, 2025"
Juhu,2,938.0,9913797.0,37,"Security, Garden",2025-02-06
Bandra,3,1115.0,6824881.0,31,"Parking, Security",2024-12-11
Borivali,5,677.0,11440028.0,9,"Security, Parking",2025-03-26
Navi Mumbai,4,919.0,12057913.0,7,Security,26/05/2024
Goregaon,2,662.0,16541218.0,25,"Gym, Garden","May 27, 2024"
Juhu,2,1045.0,26225935.0,29,"Garden, Parking",2024-12-17
Juhu,2,803.0,8724657.0,10,"Pool, Garden, Parking",2024-07-17
Worli,3,994.0,22505907.0,19,"Gym, Garden, Parking, Security",2024-11-03
Juhu,2,533.0,11291520.0,19,"Security, Parking, Gym",2025-05-03
Thane,2,609.0,4340971.0,8,"Garden, Gym, Security, Pool","February 20, 2025"
Navi Mumbai,3,422.0,31640942.0,7,"Garden, Security","February 27, 2025"
Thane,2,651.0,42436605.0,14,"Garden, Pool","May 07, 2024"
Navi Mumbai,4,250.0,15735941.0,33,"Parking, Security, Pool, Garden",08/02/2024
Borivali,2,792.0,11454245.0,23,"Security, Garden",2024-12-03
Navi Mumbai,2,713.0,9222502.0,32,Parking,2024-12-25
Thane,2,952.0,8216306.0,39,"Garden, Pool, Parking",2024-05-08
Navi Mumbai,3,915.0,22441461.0,26,Pool,2024-09-23
Borivali,1,1339.0,10741616.0,20,Gym,20-Apr-25
Borivali,2,1808.0,29631954.0,4,"Parking, Gym","March 16, 2025"
Bandra,5,1298.0,11082939.0,34,"Pool, Security",17-Apr-25
Navi Mumbai,2,,8474668.0,20,"Garden, Gym, Pool",09-Mar-25
Worli,3,727.0,7566338.0,3,"Security, Pool",30/05/2024
Dadar,3,1204.0,6946652.0,15,"Gym, Security, Garden, Parking",18/02/2025
Andheri,2,310.0,14775597.0,30,"Gym, Pool, Security",2025-04-22
Borivali,3,789.0,4991784.0,25,"Pool, Security, Parking, Garden",24-Oct-24
Powai,2,816.0,6642490.0,34,"Parking, Garden, Security, Gym",08-Apr-24
Dadar,3,1104.0,24027020.0,5,"Security, Gym, Parking, Pool","September 19, 2024"
Goregaon,2,1114.0,6121210.0,32,"Security, Pool, Gym",08-Sep-24
Navi Mumbai,3,639.0,18212577.0,20,"Security, Gym, Garden, Pool",23/05/2024
mumbai,1,,3147733.0,15,Garden,11-Dec-24
Andheri,3,1055.0,25907737.0,38,"Gym, Pool, Parking, Security",21/04/2024
Powai,2,620.0,5064981.0,33,"Garden, Gym, Parking, Pool",2025-05-14
Dadar,2,1322.0,6415091.0,14,"Pool, Security, Gym",29/02/2024
Navi Mumbai,2,1113.0,16324956.0,5,Pool,2025-01-03
Bandra,2,960.0,12765348.0,1,Garden,"January 02, 2024"
Goregaon,3,1036.0,18568784.0,23,"Garden, Pool, Security, Gym",2025-01-19
Andheri,2,736.0,5040634.0,27,Gym,30-Oct-24
Worli,4,680.0,9137677.0,0,"Parking, Garden",10/09/2024
Bandra,5,751.0,7495048.0,0,"Pool, Security",2024-05-19
Powai,3,1074.0,5575467.0,27,"Gym, Parking",2025-03-28
Andheri,1,970.0,15518423.0,35,"Pool, Gym, Parking, Security",2024-02-06
Bandra,2,752.0,19112075.0,19,"Pool, Gym, Garden",2024-06-08
Goregaon,3,1162.0,8867294.0,7,"Garden, Gym, Pool, Security",2024-01-09
Worli,2,839.0,27061613.0,0,"Parking, Security",2024-08-20
Bandra,1,657.0,6773848.0,25,"Pool, Parking, Security, Gym",08/04/2024
Juhu,3,989.0,26670813.0,24,"Pool, Security",26-May-24
Worli,3,545.0,15208171.0,9,"Parking, Pool",30-Oct-24
